number,value,datetime_start,datetime_complete,duration,params_Kd_excite,params_Kd_inhib,params_Ki_excite,params_Ki_inhib,params_Kp_excite,params_Kp_inhib,state
67,1.590335941095259,2025-02-23 17:14:17.818188,2025-02-23 17:14:34.889327,0 days 00:00:17.071139,1.0,68.98134802677865,1.0,10.524070563721303,1.0,10.831373919656182,COMPLETE
68,1.3977089397089444,2025-02-23 17:14:34.915328,2025-02-23 17:14:51.998666,0 days 00:00:17.083338,1.0,100.6003567397931,1.0,13.628700609473242,1.0,9.089974856823453,COMPLETE
69,1.6615799676898184,2025-02-23 17:14:52.024669,2025-02-23 17:15:09.099701,0 days 00:00:17.075032,1.0,55.45860837896683,1.0,7.307504561626552,1.0,7.0296129097716715,COMPLETE
70,3.633943990665119,2025-02-23 17:15:09.125700,2025-02-23 17:15:26.211327,0 days 00:00:17.085627,1.0,52.31776741574226,1.0,4.322080394853696,1.0,19.433717520852767,COMPLETE
71,9.441410414104128,2025-02-23 17:15:26.237327,2025-02-23 17:15:43.317076,0 days 00:00:17.079749,1.0,145.27018276094992,1.0,13.276079641757995,1.0,8.75517199165947,COMPLETE
72,18.170340425531933,2025-02-23 17:15:43.345076,2025-02-23 17:16:00.416888,0 days 00:00:17.071812,1.0,96.96952406093479,1.0,17.490759324975652,1.0,9.520657321922808,COMPLETE
73,27.607809629835675,2025-02-23 17:16:00.442888,2025-02-23 17:16:17.519210,0 days 00:00:17.076322,1.0,117.23474282850962,1.0,10.860420535290054,1.0,8.13799836795138,COMPLETE
74,1.0135786604361452,2025-02-23 17:16:17.547210,2025-02-23 17:16:34.628616,0 days 00:00:17.081406,1.0,102.46044470206871,1.0,12.549615734690349,1.0,12.421417815666967,COMPLETE
75,4.97680067001679,2025-02-23 17:16:34.656615,2025-02-23 17:16:51.738796,0 days 00:00:17.082181,1.0,89.51870912877439,1.0,11.82981387631913,1.0,10.947568759514153,COMPLETE
76,1.912833646616538,2025-02-23 17:16:51.766796,2025-02-23 17:17:08.842918,0 days 00:00:17.076122,1.0,75.8758557686484,1.0,3.272502070664764,1.0,13.930607955211784,COMPLETE
77,3.17042421746294,2025-02-23 17:17:08.865918,2025-02-23 17:17:25.946946,0 days 00:00:17.081028,1.0,56.07925170060794,1.0,1.2094811561629568,1.0,12.057315105830032,COMPLETE
78,4.003679720822041,2025-02-23 17:17:25.973951,2025-02-23 17:17:43.054925,0 days 00:00:17.080974,1.0,59.37532252037071,1.0,9.072206856373898,1.0,1.1251546017680523,COMPLETE
79,6.734709119496861,2025-02-23 17:17:43.082925,2025-02-23 17:18:00.154828,0 days 00:00:17.071903,1.0,52.96948795251348,1.0,2.6573459626089906,1.0,1.220536043272115,COMPLETE
80,3.59429013213381,2025-02-23 17:18:00.182833,2025-02-23 17:18:17.253278,0 days 00:00:17.070445,1.0,66.64440536739927,1.0,15.996288217122855,1.0,7.3052895339477715,COMPLETE
81,4.266001064962723,2025-02-23 17:18:17.281277,2025-02-23 17:18:34.367111,0 days 00:00:17.085834,1.0,89.32492089139068,1.0,13.124639896029658,1.0,10.74107386828811,COMPLETE
82,6.39023420238621,2025-02-23 17:18:34.394111,2025-02-23 17:18:51.469656,0 days 00:00:17.075545,1.0,110.9238791895008,1.0,9.892948141104457,1.0,4.090843770188229,COMPLETE
83,6.359270967741933,2025-02-23 17:18:51.495656,2025-02-23 17:19:08.570655,0 days 00:00:17.074999,1.0,98.98242767908097,1.0,2.950553986449083,1.0,13.289438061420995,COMPLETE
84,6.125140306122465,2025-02-23 17:19:08.596655,2025-02-23 17:19:25.687463,0 days 00:00:17.090808,1.0,103.91224995602872,1.0,12.542711670331794,1.0,9.409649863178334,COMPLETE
85,3.2235840707964494,2025-02-23 17:19:25.716460,2025-02-23 17:19:42.799763,0 days 00:00:17.083303,1.0,122.1441945701849,1.0,2.1452157748485585,1.0,6.554278488431951,COMPLETE
86,5.404968847352012,2025-02-23 17:19:42.824763,2025-02-23 17:19:59.898395,0 days 00:00:17.073632,1.0,104.59719313980726,1.0,3.5583852049897384,1.0,1.385218634189867,COMPLETE
87,6.113224603914254,2025-02-23 17:19:59.927395,2025-02-23 17:20:17.004229,0 days 00:00:17.076834,1.0,197.8575909688723,1.0,13.81353297292209,1.0,8.285914051812842,COMPLETE
88,11.092893401015253,2025-02-23 17:20:17.033509,2025-02-23 17:20:34.112159,0 days 00:00:17.078650,1.0,249.7372056832634,1.0,10.424970690503004,1.0,5.696292211343696,COMPLETE
89,4.96952457695407,2025-02-23 17:20:34.139159,2025-02-23 17:20:51.218176,0 days 00:00:17.079017,1.0,79.9875873024292,1.0,19.391643804215683,1.0,1.5591944491189733,COMPLETE
90,6.128652535957615,2025-02-23 17:20:51.244175,2025-02-23 17:21:08.314486,0 days 00:00:17.070311,1.0,57.190541037580616,1.0,16.04933687702575,1.0,1.8109831444925995,COMPLETE
91,2.5690778341793625,2025-02-23 17:21:08.340486,2025-02-23 17:21:25.411953,0 days 00:00:17.071467,1.0,51.96822983683802,1.0,8.492685312072776,1.0,3.064256609031389,COMPLETE
92,8.232744827586215,2025-02-23 17:21:25.439960,2025-02-23 17:21:42.516726,0 days 00:00:17.076766,1.0,54.81540217189212,1.0,12.289348080581284,1.0,2.0373994089056455,COMPLETE
93,7.817339228295804,2025-02-23 17:21:42.545722,2025-02-23 17:21:59.620828,0 days 00:00:17.075106,1.0,50.07393233982466,1.0,9.446644824014921,1.0,12.413950300181684,COMPLETE
94,4.942636986301367,2025-02-23 17:21:59.649830,2025-02-23 17:22:16.731152,0 days 00:00:17.081322,1.0,64.13122208480844,1.0,11.458740722021714,1.0,4.693996508995029,COMPLETE
95,4.667440811724914,2025-02-23 17:22:16.760152,2025-02-23 17:22:33.837988,0 days 00:00:17.077836,1.0,59.25084465826034,1.0,7.657002610813232,1.0,9.40410992880069,COMPLETE
96,8.312337078651684,2025-02-23 17:22:33.864988,2025-02-23 17:22:50.941812,0 days 00:00:17.076824,1.0,57.02515685271649,1.0,10.165816886072935,1.0,2.2468370328251264,COMPLETE
97,25.38983735277616,2025-02-23 17:22:50.967812,2025-02-23 17:23:08.051450,0 days 00:00:17.083638,1.0,158.04022192834552,1.0,6.760859248905075,1.0,7.766281617612832,COMPLETE
98,25.20940848990952,2025-02-23 17:23:08.078449,2025-02-23 17:23:25.150032,0 days 00:00:17.071583,1.0,133.69067365755566,1.0,4.311614974188389,1.0,10.355791771676735,COMPLETE
99,10.606682375117822,2025-02-23 17:23:25.181259,2025-02-23 17:23:42.279197,0 days 00:00:17.097938,1.0,61.813386076042626,1.0,3.7482871906223734,1.0,3.757130451823556,COMPLETE
